gvkey,iid,shortintadj,datadate,tic
108132,01,19007264.0000,2001-07-13,SPY
108132,01,220054512.0000,2017-02-15,SPY
108132,01,262473760.0000,2008-08-15,SPY
108132,01,176561664.0000,2017-04-13,SPY
108132,01,2247746.0000,1995-03-15,SPY
108132,01,170817840.0000,2017-06-15,SPY
108132,01,285908992.0000,2008-10-15,SPY
108132,01,184701072.0000,2017-08-15,SPY
108132,01,39759600.0000,2001-11-15,SPY
108132,01,171131120.0000,2017-10-13,SPY
108132,01,317509120.0000,2008-12-15,SPY
108132,01,170285888.0000,2017-12-15,SPY
108132,01,6463360.0000,1997-07-15,SPY
108132,01,197396512.0000,2018-02-15,SPY
108132,01,289956352.0000,2009-02-13,SPY
108132,01,189245456.0000,2018-04-13,SPY
108132,01,40340832.0000,2002-03-15,SPY
108132,01,155052720.0000,2018-06-15,SPY
108132,01,303748864.0000,2009-04-15,SPY
108132,01,143306400.0000,2018-08-15,SPY
108132,01,1485310.0000,1994-03-15,SPY
108132,01,180330416.0000,2018-10-15,SPY
108132,01,292539648.0000,2009-06-15,SPY
108132,01,182885456.0000,2018-12-14,SPY
108132,01,41790016.0000,2002-07-15,SPY
108132,01,160663520.0000,2019-02-15,SPY
108132,01,239839472.0000,2009-08-14,SPY
108132,01,134231856.0000,2019-04-15,SPY
108132,01,21245600.0000,1997-11-14,SPY
108132,01,143846416.0000,2019-06-14,SPY
108132,01,287221248.0000,2009-10-15,SPY
108132,01,140446384.0000,2019-08-15,SPY
108132,01,53758800.0000,2002-11-15,SPY
108132,01,146224528.0000,2019-10-15,SPY
108132,01,294821120.0000,2009-12-15,SPY
108132,01,130106048.0000,2019-12-13,SPY
108132,01,1766374.0000,1995-07-14,SPY
108132,01,123985552.0000,2020-02-14,SPY
108132,01,262519472.0000,2010-02-12,SPY
108132,01,226045264.0000,2020-04-15,SPY
108132,01,60245808.0000,2003-03-14,SPY
108132,01,174360912.0000,2020-06-15,SPY
108132,01,256853232.0000,2010-04-15,SPY
108132,01,160106640.0000,2020-08-14,SPY
108132,01,16458426.0000,1998-03-13,SPY
108132,01,156644229.0000,2020-10-15,SPY
108132,01,309229312.0000,2010-06-15,SPY
108132,01,155907095.0000,2020-12-15,SPY
108132,01,96335360.0000,2003-07-15,SPY
108132,01,160028631.0000,2021-02-12,SPY
108132,01,302893824.0000,2010-08-13,SPY
108132,01,149211357.0000,2021-04-15,SPY
108132,01,153880840.0000,2021-06-15,SPY
108132,01,276277760.0000,2010-10-15,SPY
108132,01,147621560.0000,2021-08-13,SPY
108132,01,115181296.0000,2003-11-14,SPY
108132,01,153167719.0000,2021-10-15,SPY
108132,01,309223424.0000,2010-12-15,SPY
108132,01,152419800.0000,2021-12-15,SPY
108132,01,20925600.0000,1998-07-15,SPY
108132,01,148369506.0000,2022-02-15,SPY
108132,01,267093584.0000,2011-02-15,SPY
108132,01,141103579.0000,2022-04-14,SPY
108132,01,122533776.0000,2004-03-15,SPY
108132,01,179602473.0000,2022-06-15,SPY
108132,01,313035776.0000,2011-04-15,SPY
108132,01,172837160.0000,2022-08-15,SPY
108132,01,2357662.0000,1995-11-15,SPY
108132,01,159771754.0000,2022-10-14,SPY
108132,01,375482112.0000,2011-06-15,SPY
108132,01,131883416.0000,2022-12-15,SPY
108132,01,78498864.0000,2004-07-15,SPY
108132,01,129671951.0000,2023-02-15,SPY
108132,01,532574720.0000,2011-08-15,SPY
108132,01,138453908.0000,2023-04-14,SPY
108132,01,22434480.0000,1998-11-13,SPY
108132,01,438057728.0000,2011-09-30,SPY
108132,01,89248656.0000,2004-10-15,SPY
108132,01,472447488.0000,2011-10-31,SPY
108132,01,18114528.0000,1998-12-15,SPY
108132,01,457789184.0000,2011-11-30,SPY
108132,01,92669584.0000,2004-12-15,SPY
108132,01,286188288.0000,2011-12-30,SPY
108132,01,1062647.0000,1993-10-15,SPY
108132,01,289628928.0000,2012-01-31,SPY
108132,01,88123568.0000,2005-02-15,SPY
108132,01,320414720.0000,2012-02-29,SPY
108132,01,19971200.0000,1999-02-12,SPY
108132,01,271376896.0000,2012-03-30,SPY
108132,01,119791408.0000,2005-04-15,SPY
108132,01,260165472.0000,2012-04-30,SPY
108132,01,2040646.0000,1996-02-15,SPY
108132,01,294238976.0000,2012-05-31,SPY
108132,01,106830624.0000,2005-06-15,SPY
108132,01,228126576.0000,2012-06-29,SPY
108132,01,20410016.0000,1999-04-15,SPY
108132,01,201670464.0000,2012-07-31,SPY
108132,01,119159232.0000,2005-08-15,SPY
108132,01,210873504.0000,2012-08-31,SPY
108132,01,1536788.0000,1994-08-15,SPY
108132,01,204784768.0000,2012-09-28,SPY
108132,01,126905776.0000,2005-10-14,SPY
108132,01,210904064.0000,2012-10-31,SPY
108132,01,26513648.0000,1999-06-15,SPY
108132,01,219826224.0000,2012-11-30,SPY
108132,01,113477600.0000,2005-12-15,SPY
108132,01,225585792.0000,2012-12-31,SPY
108132,01,3551249.0000,1996-04-15,SPY
108132,01,207825408.0000,2013-01-31,SPY
108132,01,118904688.0000,2006-02-15,SPY
108132,01,248516464.0000,2013-02-28,SPY
108132,01,22257456.0000,1999-08-13,SPY
108132,01,248708896.0000,2013-03-28,SPY
108132,01,119449776.0000,2006-04-13,SPY
108132,01,233692992.0000,2013-04-30,SPY
108132,01,397214.0000,1993-06-15,SPY
108132,01,225369824.0000,2013-05-31,SPY
108132,01,118245808.0000,2006-06-15,SPY
108132,01,240388176.0000,2013-06-28,SPY
108132,01,29212608.0000,1999-10-15,SPY
108132,01,244124720.0000,2013-07-31,SPY
108132,01,97168368.0000,2006-08-15,SPY
108132,01,270887424.0000,2013-08-30,SPY
108132,01,4043023.0000,1996-06-14,SPY
108132,01,243165888.0000,2013-09-30,SPY
108132,01,102942512.0000,2006-10-13,SPY
108132,01,239904512.0000,2013-10-31,SPY
108132,01,19187456.0000,1999-12-15,SPY
108132,01,280183040.0000,2013-11-29,SPY
108132,01,115888224.0000,2006-12-15,SPY
108132,01,209120752.0000,2013-12-31,SPY
108132,01,1950971.0000,1994-10-14,SPY
108132,01,229049024.0000,2014-01-31,SPY
108132,01,114294768.0000,2007-01-31,SPY
108132,01,234977376.0000,2014-02-28,SPY
108132,01,20927360.0000,2000-02-15,SPY
108132,01,236276576.0000,2014-03-31,SPY
108132,01,116253568.0000,2007-02-28,SPY
108132,01,230392304.0000,2014-04-30,SPY
108132,01,4224512.0000,1996-08-15,SPY
108132,01,255005184.0000,2014-05-30,SPY
108132,01,154517376.0000,2007-03-30,SPY
108132,01,256764672.0000,2014-06-30,SPY
108132,01,20359616.0000,2000-04-14,SPY
108132,01,249871536.0000,2014-07-31,SPY
108132,01,140583056.0000,2007-04-30,SPY
108132,01,274316032.0000,2014-08-29,SPY
108132,01,1198665.0000,1993-12-15,SPY
108132,01,255306896.0000,2014-09-30,SPY
108132,01,154759248.0000,2007-05-31,SPY
108132,01,269842176.0000,2014-10-31,SPY
108132,01,16117450.0000,2000-06-15,SPY
108132,01,254001472.0000,2014-11-28,SPY
108132,01,197394960.0000,2007-06-29,SPY
108132,01,228864832.0000,2014-12-31,SPY
108132,01,4257150.0000,1996-10-15,SPY
108132,01,228315600.0000,2015-01-30,SPY
108132,01,207908048.0000,2007-07-31,SPY
108132,01,246674192.0000,2015-02-27,SPY
108132,01,15108792.0000,2000-08-15,SPY
108132,01,234652656.0000,2015-03-31,SPY
108132,01,242747168.0000,2007-08-31,SPY
108132,01,275837952.0000,2015-04-30,SPY
108132,01,1620245.0000,1994-12-15,SPY
108132,01,301841152.0000,2015-05-29,SPY
108132,01,196592896.0000,2007-09-28,SPY
108132,01,298176768.0000,2015-06-30,SPY
108132,01,15145106.0000,2000-10-13,SPY
108132,01,309155072.0000,2015-07-31,SPY
108132,01,207780240.0000,2007-10-31,SPY
108132,01,373098240.0000,2015-08-31,SPY
108132,01,5338409.0000,1996-12-13,SPY
108132,01,371426304.0000,2015-09-30,SPY
108132,01,230836464.0000,2007-11-30,SPY
108132,01,279545600.0000,2015-10-30,SPY
108132,01,18318160.0000,2000-12-15,SPY
108132,01,289675776.0000,2015-11-30,SPY
108132,01,242549520.0000,2007-12-31,SPY
108132,01,278256128.0000,2015-12-31,SPY
108132,01,152350.0000,1993-04-15,SPY
108132,01,293743104.0000,2016-01-29,SPY
108132,01,226450096.0000,2008-01-31,SPY
108132,01,280393216.0000,2016-02-29,SPY
108132,01,26663952.0000,2001-02-15,SPY
108132,01,254129264.0000,2016-03-31,SPY
108132,01,270631936.0000,2008-02-29,SPY
108132,01,237889456.0000,2016-04-29,SPY
